PlayerName,Team,Pos,Age,MP,Starts,Min,90s,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Federico Valverde,Real Madrid,MF,26,22,22,1919,21.3,0.23,0.05,1.27,0.09,0.08,0.13,2.72,66.6,89.0,6.57,1.97,0.47,1.03,2.2,1.45,1.97,1.22,1.17,0.89
Antonio Rüdiger,Real Madrid,CB,31,22,21,1806,20.1,0.0,0.06,0.95,0.0,0.01,0.07,1.1,74.55,91.8,3.44,0.7,0.15,0.9,0.1,0.7,0.4,0.9,3.84,1.4
Kylian Mbappé,Real Madrid,FW,26,20,20,1728,19.2,0.52,0.52,4.32,0.1,0.2,0.72,3.8,33.91,82.6,4.58,4.74,2.4,10.0,12.55,0.42,0.0,0.16,0.0,0.05
Jude Bellingham,Real Madrid,MF,21,18,18,1500,16.7,0.36,0.34,2.04,0.36,0.15,0.49,3.48,57.9,86.3,7.38,2.88,1.32,3.72,5.22,1.92,1.02,1.32,0.84,0.84
Aurélien Tchouaméni,Real Madrid,MF,25,17,17,1454,16.2,0.0,0.06,0.74,0.0,0.03,0.1,1.42,74.34,93.0,6.81,0.87,0.31,0.87,0.43,1.67,1.67,0.74,1.86,2.17
Rodrygo,Real Madrid,AM,24,19,15,1289,14.3,0.42,0.2,2.44,0.35,0.16,0.36,5.45,51.32,85.9,5.03,4.96,2.09,6.07,12.01,0.63,0.35,0.91,0.28,0.35
Vinicius Júnior,Real Madrid,AM,24,16,14,1265,14.1,0.43,0.34,3.27,0.36,0.34,0.68,5.12,34.72,74.4,3.42,6.69,2.99,7.54,10.53,1.07,0.07,0.36,0.07,0.07
Lucas Vázquez,Real Madrid,FB,33,18,13,1143,12.7,0.08,0.09,0.63,0.24,0.29,0.39,2.91,68.35,87.2,4.09,1.5,0.94,2.44,8.58,2.44,0.63,0.63,1.26,0.16
Fran Garcia,Real Madrid,FB,25,17,11,1037,11.5,0.0,0.05,0.69,0.09,0.05,0.1,1.74,64.74,87.7,4.6,2.6,0.26,1.65,7.64,1.56,0.95,0.69,2.6,0.52
Éder Militão,Real Madrid,CB,27,12,11,938,10.4,0.1,0.06,0.96,0.1,0.05,0.11,1.15,68.32,89.3,4.41,0.67,0.48,1.25,0.1,1.82,1.15,1.25,3.36,2.01
Ferland Mendy,Real Madrid,FB,29,12,10,831,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.22,60.65,93.2,3.36,0.97,0.22,0.22,3.79,1.73,0.97,1.08,0.76,0.32
Dani Ceballos,Real Madrid,MF,28,13,9,735,8.2,0.0,0.02,0.24,0.0,0.15,0.17,3.43,101.63,94.0,11.39,2.33,0.49,0.61,1.1,3.67,1.35,0.98,0.49,0.24
Brahim Díaz,Real Madrid,AM,25,17,8,778,8.6,0.35,0.34,1.62,0.23,0.27,0.6,4.16,44.42,85.9,5.21,2.08,1.85,3.24,6.59,2.08,0.23,1.27,0.12,0.12
Luka Modrić,Real Madrid,MF,39,21,7,875,9.7,0.1,0.11,1.13,0.31,0.4,0.51,5.97,93.7,86.9,8.54,2.98,0.41,1.13,3.19,1.03,1.13,0.72,0.82,0.21
Dani Carvajal,Real Madrid,FB,33,8,7,609,6.8,0.15,0.19,0.44,0.0,0.03,0.22,1.77,68.42,86.2,3.99,1.92,0.3,1.77,7.09,1.77,1.48,1.18,2.81,1.03
Arda Güler,Real Madrid,AM,19,16,6,608,6.8,0.15,0.27,2.81,0.44,0.25,0.52,5.18,55.36,86.1,5.63,2.52,1.63,3.85,6.96,2.37,0.44,1.48,0.89,0.89
Eduardo Camavinga,Real Madrid,MF,22,8,6,520,5.8,0.0,0.02,0.52,0.35,0.03,0.05,1.56,68.37,88.6,5.88,1.73,0.87,1.21,2.08,3.29,1.38,1.9,1.38,0.87
Raúl Asencio,Real Madrid,CB,21,10,5,589,6.5,0.0,0.0,0.15,0.15,0.06,0.08,0.76,63.57,91.8,1.38,0.46,0.61,0.61,0.61,1.38,0.76,0.0,4.89,1.99
Clément Lenglet,Atlético Madrid,CB,29,12,12,1013,11.3,0.09,0.12,0.53,0.09,0.07,0.19,0.89,62.64,87.4,4.35,0.89,0.09,0.8,0.0,0.89,1.24,1.07,4.44,1.95
Rodrigo De Paul,Atlético Madrid,MF,30,20,11,1118,12.4,0.24,0.09,0.97,0.24,0.28,0.37,4.43,77.6,80.3,10.87,3.14,0.64,0.97,3.78,1.13,0.32,1.13,0.64,0.24
Robin Le Normand,Atlético Madrid,CB,28,13,11,1013,11.3,0.0,0.03,0.36,0.0,0.04,0.07,0.53,57.84,89.6,3.11,0.53,0.09,0.71,0.36,1.16,0.53,0.8,4.0,2.13
Samuel Lino,Atlético Madrid,MF,25,18,11,927,10.3,0.29,0.46,2.72,0.19,0.21,0.67,2.91,51.07,79.5,4.85,3.98,1.36,4.76,11.07,1.07,0.58,1.26,0.68,0.58
Giuliano Simeone,Atlético Madrid,MF,22,17,11,856,9.5,0.11,0.16,0.84,0.32,0.24,0.4,2.52,43.11,76.3,2.94,3.68,1.26,3.89,9.88,1.16,0.63,1.37,0.74,0.32
Javi Galán,Atlético Madrid,FB,30,12,10,844,9.4,0.0,0.01,0.32,0.21,0.21,0.22,1.81,54.6,82.8,3.09,2.88,1.71,0.75,6.5,2.56,0.53,1.07,1.28,1.28
Reinildo Mandava,Atlético Madrid,FB,31,15,9,782,8.7,0.0,0.01,0.12,0.0,0.01,0.02,0.81,62.26,84.1,3.11,1.27,0.23,0.92,1.38,1.96,1.38,1.04,3.22,0.81
Alexander Sørloth,Atlético Madrid,FW,29,19,8,871,9.7,0.83,0.71,3.82,0.21,0.13,0.85,2.17,22.01,62.0,1.55,1.65,1.14,5.99,4.55,0.52,0.0,0.41,1.65,5.79
Axel Witsel,Atlético Madrid,CB,36,12,8,761,8.5,0.0,0.0,0.12,0.12,0.06,0.07,0.35,58.19,90.0,2.13,0.24,0.12,0.47,0.12,1.54,1.06,1.77,3.78,2.72
César Azpilicueta,Atlético Madrid,CB,35,7,6,525,5.8,0.0,0.03,0.69,0.0,0.0,0.03,0.51,72.0,87.6,7.2,1.2,0.17,1.03,1.37,2.06,0.34,0.51,2.74,1.54
