Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90
Real Madrid,Federico Valverde,URU,"MF,DF",26,22,22,1919,21.3,5,2,7,5,0,0,3,0,1.0,1.0,1.8,2.8,42,140,47,0.23,0.09,0.33,0.23,0.33,0.05,0.08,0.13,0.05,0.13
Real Madrid,Antonio Rüdiger,GER,DF,31,22,21,1806,20.1,0,0,0,0,0,0,2,0,1.3,1.3,0.2,1.5,14,69,2,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
Real Madrid,Kylian Mbappé,FRA,FW,26,20,20,1728,19.2,15,2,17,10,5,6,3,0,14.7,10.0,3.8,13.8,91,88,241,0.78,0.1,0.89,0.52,0.62,0.77,0.2,0.97,0.52,0.72
Real Madrid,Thibaut Courtois,BEL,GK,32,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Real Madrid,Jude Bellingham,ENG,MF,21,18,18,1500,16.7,7,6,13,6,1,2,3,0,7.1,5.6,2.5,8.1,48,123,87,0.42,0.36,0.78,0.36,0.72,0.43,0.15,0.58,0.33,0.49
Real Madrid,Aurélien Tchouaméni,FRA,"MF,DF",25,17,17,1454,16.2,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.6,14,110,7,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.1,0.06,0.1
Real Madrid,Rodrygo,BRA,FW,24,19,15,1289,14.3,6,5,11,6,0,0,0,0,2.9,2.8,2.3,5.1,71,72,172,0.42,0.35,0.77,0.42,0.77,0.2,0.16,0.36,0.19,0.36
Real Madrid,Vinicius Júnior,BRA,FW,24,16,14,1265,14.1,8,5,13,6,2,2,5,1,6.2,4.8,4.8,9.6,94,48,148,0.57,0.36,0.92,0.43,0.78,0.44,0.34,0.78,0.34,0.68
Real Madrid,Lucas Vázquez,ESP,DF,33,18,13,1143,12.7,1,3,4,1,0,0,3,0,1.2,1.2,3.7,4.9,19,52,109,0.08,0.24,0.31,0.08,0.31,0.09,0.29,0.38,0.09,0.38
Real Madrid,Fran Garcia,ESP,DF,25,17,11,1037,11.5,0,1,1,0,0,0,0,0,0.6,0.6,0.6,1.2,30,53,88,0.0,0.09,0.09,0.0,0.09,0.05,0.05,0.1,0.05,0.1
