PlayerName,Pos,Non_Penalty_Goals,npxG_Non_Penalty_xG,Shots_Total,Assists,xAG_Exp_Assisted_Goals,npxG_plus_xAG,Shot_Creating_Actions,Passes_Attempted,Pass_Completion_Percentage,Progressive_Passes,Progressive_Carries,Successful_Take_Ons,Touches_Att_Pen,Progressive_Passes_Rec,Tackles,Interceptions,Blocks,Clearances,Aerials_Won
Abakar Sylla,CB,0.14,0.06,0.69,0.0,0.0,0.06,0.41,61.7,87.2,1.24,0.0,0.28,1.24,0.28,2.76,0.97,1.66,4.14,1.66
Abdallah Sima,AM,0.43,0.33,2.84,0.28,0.07,0.4,1.85,23.85,68.5,1.7,3.27,0.71,4.4,6.39,0.71,0.14,0.43,0.85,3.12
Abdoulaye Bamba,CB,0.0,0.0,0.0,0.0,0.04,0.04,1.03,40.76,87.7,1.41,0.13,0.13,0.13,0.39,1.8,1.16,0.77,4.37,0.9
Abdoulaye Niakhate Ndiaye,CB,0.0,0.05,0.45,0.0,0.0,0.05,0.45,46.02,82.0,1.93,0.23,0.0,1.13,0.11,2.04,0.79,1.02,6.57,2.83
Abdoulaye Touré,MF,0.0,0.09,1.35,0.07,0.01,0.1,1.55,38.93,82.1,4.05,0.4,0.61,1.01,1.15,2.56,1.55,1.48,1.89,1.35
Abdukodir Khusanov,CB,0.0,0.02,0.55,0.0,0.03,0.06,1.02,50.58,88.1,3.97,0.18,0.09,0.37,0.55,1.38,2.4,1.57,5.26,2.49
Abner,FB,0.11,0.02,0.68,0.0,0.05,0.07,1.71,54.18,82.9,5.48,2.17,0.46,2.05,5.13,2.17,0.57,1.37,3.54,0.57
Achraf Hakimi,FB,0.13,0.14,1.36,0.32,0.32,0.46,4.93,93.11,88.2,7.2,4.47,1.3,3.76,12.58,2.46,1.43,1.04,0.71,0.45
Ado Onaiwu,AM,0.32,0.52,2.76,0.0,0.07,0.6,2.6,34.6,72.8,2.76,1.62,0.97,4.06,9.42,0.81,0.32,0.32,1.14,2.76
Adrien Rabiot,AM,0.22,0.18,1.69,0.07,0.08,0.25,1.84,57.75,84.6,5.73,2.64,0.73,3.23,5.95,2.5,0.96,0.81,1.62,1.25
Adrien Thomasson,MF,0.11,0.18,1.27,0.17,0.24,0.42,3.31,53.35,80.6,5.13,0.88,0.83,3.31,4.3,3.42,0.77,1.54,1.21,0.77
Adrien Truffert,FB,0.06,0.09,0.97,0.0,0.05,0.14,1.51,49.83,77.2,4.22,2.29,0.6,1.63,6.03,1.87,0.78,1.39,1.93,1.03
Aimen Moueffek,MF,0.0,0.13,0.91,0.0,0.04,0.16,1.27,32.84,86.7,2.72,1.09,0.91,1.27,1.09,2.0,0.36,1.09,3.08,1.27
Ainsley Maitland-Niles,FB,0.08,0.08,1.02,0.16,0.15,0.23,1.73,52.33,81.5,4.49,1.34,0.79,2.99,4.81,2.99,1.34,1.42,2.36,0.47
Aïssa Mandi,FB,0.0,0.02,0.31,0.0,0.02,0.03,1.32,63.4,88.5,4.9,0.62,0.08,0.78,1.17,1.32,0.7,1.48,2.18,0.62
Akor Adams,FW,0.25,0.36,2.18,0.08,0.08,0.44,2.09,14.99,62.6,0.5,0.92,0.59,4.1,3.77,0.33,0.08,0.17,0.42,2.34
Albert Grønbaek,AM,0.22,0.17,2.44,0.11,0.11,0.28,3.21,27.34,62.8,3.32,2.55,1.22,4.54,6.42,2.32,0.44,1.0,0.66,0.44
Aleksandr Golovin,AM,0.24,0.19,1.87,0.0,0.19,0.38,3.82,53.29,77.3,9.02,3.09,1.79,2.52,5.69,2.92,0.81,1.14,0.49,0.73
Alexandre Lacazette,FW,0.29,0.45,2.29,0.14,0.21,0.66,2.94,25.65,69.8,3.73,0.93,0.64,6.81,7.52,0.64,0.36,0.43,0.36,1.0
Alexsandro Ribeiro,CB,0.0,0.05,0.65,0.06,0.01,0.06,1.18,78.12,90.4,6.47,0.88,0.12,1.41,0.29,1.12,1.12,0.76,4.41,1.94
Ali Abdi,FB,0.22,0.13,1.78,0.22,0.16,0.28,2.9,41.82,73.1,3.01,2.57,0.78,3.01,6.25,2.68,1.0,1.56,2.9,1.45
Alidu Seidu,CB,0.0,0.01,0.34,0.0,0.03,0.04,1.35,58.06,82.2,4.6,2.58,1.01,0.56,1.91,2.47,1.57,1.46,1.91,1.01
Amadou Koné,MF,0.0,0.02,0.85,0.0,0.0,0.02,1.88,47.05,90.2,6.31,1.88,1.53,0.17,0.85,3.75,1.36,1.53,1.19,0.85
Amine Gouiri,AM,0.25,0.32,2.86,0.25,0.12,0.43,2.94,30.7,78.6,3.95,2.1,1.26,4.46,5.72,0.76,0.17,0.67,0.42,0.67
Amine Harit,AM,0.38,0.13,0.95,0.57,0.25,0.38,5.15,42.9,83.6,6.29,2.29,1.53,2.67,4.0,1.33,0.57,1.14,0.19,0.19
Anass Zaroury,AM,0.0,0.12,2.06,0.12,0.19,0.31,3.76,41.06,64.0,3.76,2.42,0.85,1.82,7.63,1.09,0.12,0.73,0.48,0.24
André Ayew,FW,0.32,0.29,1.29,0.0,0.0,0.29,0.64,16.22,76.2,1.07,0.32,0.32,2.26,2.15,1.07,0.21,0.64,1.18,2.26
André Gomes,MF,0.0,0.03,0.7,0.0,0.04,0.07,2.38,64.29,89.6,6.43,0.84,0.84,0.84,1.26,2.1,0.7,0.56,0.98,0.7
Andrey Santos,MF,0.37,0.18,1.28,0.05,0.11,0.29,1.76,48.55,87.2,4.86,1.01,0.64,1.01,1.01,3.74,0.91,1.39,1.98,0.96
Andy Diouf,MF,0.07,0.09,1.44,0.07,0.08,0.16,3.41,44.54,76.9,5.44,3.41,1.71,1.97,3.02,1.51,0.59,1.25,0.66,0.72
Angel Gomes,AM,0.13,0.12,1.04,0.13,0.27,0.39,3.65,44.67,80.8,6.12,1.95,0.65,2.34,5.86,1.3,0.0,0.0,0.26,0.65
Angelo Fulgini,AM,0.11,0.22,2.26,0.11,0.26,0.47,4.42,54.86,78.6,6.14,2.48,0.97,4.1,9.7,0.86,0.0,0.97,0.22,0.86
Antoine Joujou,MF,0.0,0.06,1.14,0.14,0.29,0.34,3.15,23.9,63.5,1.43,4.29,3.15,3.86,8.16,1.43,1.14,1.29,1.86,0.29
Antoine Mendy,CB,0.0,0.07,0.67,0.0,0.02,0.08,1.34,53.43,77.8,3.34,1.5,0.67,1.17,1.84,4.01,0.83,1.17,3.67,1.5
Arnaud Kalimuendo,FW,0.24,0.2,1.81,0.0,0.06,0.26,1.45,20.6,78.0,2.66,1.27,0.79,4.29,6.22,0.54,0.12,0.36,0.48,0.91
Arnaud Nordin,AM,0.23,0.19,2.01,0.08,0.07,0.26,2.32,25.63,69.9,1.78,3.94,1.78,3.78,8.57,1.85,0.39,0.93,0.54,0.93
Aron Dønnum,FB,0.0,0.06,0.94,0.0,0.09,0.16,2.3,40.58,70.5,4.19,3.95,1.95,2.48,4.9,1.53,1.06,1.0,1.47,0.47
Arouna Sangante,CB,0.26,0.05,0.64,0.0,0.01,0.06,1.03,52.31,84.1,3.85,0.9,0.38,0.77,0.13,1.54,1.92,0.9,3.85,1.79
Augustine Boakye,AM,0.44,0.21,2.93,0.0,0.1,0.31,4.25,30.78,76.2,3.96,2.93,1.91,3.52,6.16,1.03,0.73,0.59,0.44,0.73
Aurélio Buta,FB,0.0,0.01,0.4,0.07,0.02,0.03,1.68,48.23,84.1,4.51,1.15,0.4,0.54,2.83,2.09,1.01,0.67,2.49,0.61
Ayyoub Bouaddi,MF,0.0,0.0,0.13,0.13,0.12,0.12,1.19,44.14,88.0,2.91,0.93,1.32,0.79,1.45,4.49,0.93,0.66,1.06,0.79
Azor Matusiwa,MF,0.0,0.01,0.31,0.0,0.05,0.07,1.72,49.92,86.9,5.73,0.49,0.8,0.31,0.62,3.14,1.72,1.29,2.15,1.23
Badredine Bouanani,AM,0.27,0.17,2.94,0.0,0.13,0.31,3.61,36.59,76.6,4.01,4.14,1.2,3.2,7.08,0.8,0.8,1.6,0.53,0.13
Bafodé Diakité,CB,0.15,0.09,0.5,0.05,0.01,0.09,0.55,71.65,92.6,2.9,0.45,0.15,0.6,0.15,0.9,0.9,1.0,2.65,1.95
Baptiste Santamaria,MF,0.0,0.05,1.09,0.14,0.04,0.1,1.64,52.44,82.8,4.51,0.55,0.27,0.82,1.23,2.05,1.91,1.78,1.78,2.46
Becir Omeragic,CB,0.0,0.02,0.45,0.0,0.01,0.03,0.45,42.75,89.6,3.08,1.2,0.75,0.45,0.23,1.35,0.68,1.5,3.53,0.98
Benjamin André,MF,0.0,0.07,0.77,0.06,0.07,0.14,1.83,66.05,82.1,7.45,1.01,0.3,1.89,2.31,2.84,1.36,1.36,1.89,3.96
Benjamin Bouchouari,MF,0.09,0.03,0.54,0.0,0.05,0.08,2.79,51.43,86.5,5.66,1.71,1.53,0.54,2.43,1.98,1.17,0.9,0.63,0.36
Bradley Barcola,AM,0.75,0.67,3.49,0.27,0.42,1.08,3.62,36.31,82.5,3.15,6.16,1.71,8.96,14.7,1.09,0.62,1.23,0.41,0.68
Breel Embolo,FW,0.37,0.77,2.98,0.37,0.34,1.12,1.95,18.8,70.8,2.23,0.93,0.74,6.52,7.54,0.56,0.09,0.37,0.28,1.95
Brendan Chardonnet,CB,0.06,0.03,0.61,0.0,0.02,0.05,0.94,48.39,82.2,2.22,0.39,0.0,0.78,0.17,1.5,1.06,1.61,5.56,2.33
Caio Henrique Oliveira Silva,FB,0.0,0.01,0.23,0.23,0.26,0.27,3.54,69.78,77.9,5.25,2.86,1.03,1.83,7.2,1.94,0.69,1.03,2.17,0.46
Carlens Arcus,FB,0.0,0.0,0.19,0.06,0.07,0.07,1.55,44.01,78.5,2.72,1.67,0.37,0.5,3.22,2.17,1.42,0.99,3.53,1.49
Cédric Kipré,CB,0.0,0.03,0.41,0.07,0.04,0.07,1.22,53.99,88.4,3.45,0.54,0.34,0.81,0.07,1.89,1.22,1.49,5.74,1.69
Charlie Cresswell,CB,0.0,0.1,1.01,0.0,0.06,0.16,0.82,55.15,81.3,2.09,0.44,0.19,1.39,0.32,1.2,1.08,1.71,6.2,3.48
Christian Mawissa,FB,0.0,0.02,0.15,0.0,0.0,0.02,0.46,49.68,79.3,2.45,1.07,1.07,0.61,1.23,3.68,2.3,1.69,1.23,1.99
Christopher Operi,FB,0.0,0.02,0.54,0.15,0.17,0.19,2.77,57.51,71.4,4.0,2.16,1.08,0.92,5.0,1.0,1.08,1.54,2.31,0.85
Christopher Wooh,CB,0.0,0.09,0.73,0.0,0.0,0.09,0.87,53.27,86.6,3.64,0.95,0.36,0.95,0.15,2.33,1.6,1.46,3.94,2.77
Clément Akpa,CB,0.0,0.01,0.24,0.0,0.02,0.03,1.02,43.89,80.2,3.24,1.2,0.24,0.3,1.38,2.04,1.44,1.68,4.56,1.38
Clinton Mata,CB,0.0,0.01,0.25,0.19,0.07,0.09,1.24,58.15,85.2,3.42,0.93,0.68,0.81,1.43,1.55,1.8,0.93,2.55,0.87
Corentin Tolisso,MF,0.13,0.21,2.28,0.07,0.22,0.43,3.83,53.6,83.3,6.65,0.67,0.27,4.23,4.84,2.35,0.74,1.81,1.75,2.49
Cristian Cásseres Jr.,MF,0.06,0.03,0.58,0.06,0.08,0.11,2.43,46.54,77.0,4.23,0.87,0.46,0.58,1.28,3.71,1.45,1.28,1.62,0.81
Daler Kuzyaev,MF,0.16,0.03,0.63,0.0,0.1,0.13,0.63,41.27,81.2,5.08,0.63,0.32,0.63,1.43,2.06,1.43,1.11,1.27,1.11
Dante,CB,0.0,0.02,0.33,0.0,0.0,0.02,0.65,66.68,87.3,4.57,0.9,0.24,0.98,0.49,1.96,1.71,0.9,3.34,1.88
Deiver Machado,FB,0.1,0.17,1.35,0.0,0.08,0.25,2.9,45.48,81.5,2.22,2.51,1.06,1.74,3.96,2.22,0.77,0.97,1.35,1.26
Denis Zakaria,MF,0.17,0.21,1.01,0.17,0.03,0.24,1.76,51.13,89.5,3.27,0.76,1.01,1.01,1.18,1.76,1.43,1.01,2.01,0.5
Dennis Appiah,FB,0.0,0.01,0.12,0.06,0.12,0.12,1.53,48.4,74.7,3.68,2.02,0.98,0.92,4.23,2.88,1.1,1.29,3.74,0.98
Derek Cornelius,CB,0.0,0.07,0.53,0.0,0.01,0.08,0.53,86.32,93.7,4.31,0.53,0.0,0.84,0.63,1.58,0.95,0.95,3.26,1.89
Désiré Doué,AM,0.11,0.23,3.38,0.33,0.4,0.63,5.12,52.08,81.6,6.1,5.56,2.62,7.08,11.77,1.31,0.76,0.98,0.65,0.44
