Rank,TeamName,NbrUsedPlayer,Age,Possession,MP,Starts,Min,90s,Gls,GA,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xGA,npxG,xAG,npxG+xAG,PrgC,PrgP,Last5,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,TopTeamScorer
12.0,Angers,24.0,28.1,43.3,20.0,220.0,1800.0,20.0,21.0,29.0,14.0,35.0,18.0,3.0,4.0,28.0,2.0,23.8,29.5,20.7,16.9,37.6,311.0,607.0,W W W L D,1.05,0.7,1.75,0.9,1.6,1.19,0.84,2.04,1.03,1.88,Esteban Lepaul - 5
11.0,Auxerre,28.0,26.5,42.3,20.0,220.0,1800.0,20.0,27.0,33.0,19.0,46.0,24.0,3.0,4.0,40.0,4.0,24.1,36.7,21.2,18.2,39.4,275.0,672.0,L D L D L,1.35,0.95,2.3,1.2,2.15,1.2,0.91,2.11,1.06,1.97,Hamed Junior Traorè - 8
8.0,Brest,26.0,28.6,48.1,20.0,220.0,1800.0,20.0,31.0,36.0,18.0,49.0,25.0,6.0,8.0,38.0,1.0,25.1,36.9,18.9,14.5,33.3,275.0,627.0,L W W W L,1.55,0.9,2.45,1.25,2.15,1.26,0.72,1.98,0.94,1.67,Ludovic Ajorque - 8
18.0,Le Havre,29.0,27.4,42.5,20.0,220.0,1800.0,20.0,13.0,39.0,9.0,22.0,10.0,3.0,3.0,38.0,3.0,21.1,35.5,18.7,13.7,32.4,299.0,645.0,L L D L D,0.65,0.45,1.1,0.5,0.95,1.05,0.68,1.74,0.94,1.62,"André Ayew, Abdoulaye Touré - 3"
6.0,Lens,31.0,27.5,54.7,20.0,220.0,1800.0,20.0,23.0,18.0,13.0,36.0,21.0,2.0,2.0,50.0,4.0,32.8,22.8,31.3,22.7,54.0,347.0,904.0,L W L W W,1.15,0.65,1.8,1.05,1.7,1.64,1.13,2.78,1.56,2.7,M'Bala Nzola - 6
4.0,Lille,25.0,26.4,57.8,20.0,220.0,1800.0,20.0,33.0,20.0,19.0,52.0,27.0,6.0,8.0,49.0,1.0,33.8,26.3,28.0,21.7,49.7,414.0,957.0,D D W L W,1.65,0.95,2.6,1.35,2.3,1.69,1.08,2.77,1.4,2.49,Jonathan David - 12
7.0,Lyon,27.0,28.3,54.8,20.0,220.0,1800.0,20.0,29.0,26.0,20.0,49.0,26.0,3.0,5.0,33.0,0.0,33.4,29.2,29.4,23.2,52.7,391.0,968.0,W L D D L,1.45,1.0,2.45,1.3,2.3,1.67,1.16,2.83,1.47,2.63,Alexandre Lacazette - 6
2.0,Marseille,29.0,27.1,61.9,20.0,220.0,1800.0,20.0,42.0,25.0,28.0,70.0,37.0,5.0,6.0,41.0,5.0,34.7,28.4,29.9,23.6,53.6,351.0,927.0,W W D L W,2.1,1.4,3.5,1.85,3.25,1.74,1.18,2.92,1.5,2.68,Mason Greenwood - 13
3.0,Monaco,26.0,24.8,56.8,20.0,220.0,1800.0,20.0,36.0,24.0,29.0,65.0,34.0,2.0,2.0,40.0,3.0,43.0,21.3,41.6,34.1,75.7,394.0,970.0,L D L W W,1.8,1.45,3.25,1.7,3.15,2.15,1.71,3.86,2.08,3.79,Eliesse Ben Seghir - 5
17.0,Montpellier,31.0,27.3,46.4,20.0,220.0,1800.0,20.0,20.0,46.0,11.0,31.0,17.0,3.0,4.0,60.0,6.0,23.1,39.3,20.0,14.8,34.8,331.0,638.0,L L W W L,1.0,0.55,1.55,0.85,1.4,1.15,0.74,1.89,1.0,1.74,Arnaud Nordin - 4
14.0,Nantes,27.0,27.2,40.6,20.0,220.0,1800.0,20.0,24.0,30.0,18.0,42.0,21.0,3.0,3.0,42.0,1.0,22.8,29.4,20.5,16.3,36.7,309.0,666.0,D D D D W,1.2,0.9,2.1,1.05,1.95,1.14,0.81,1.95,1.02,1.84,Matthis Abline - 6
5.0,Nice,29.0,26.6,46.3,20.0,220.0,1800.0,20.0,37.0,26.0,24.0,61.0,33.0,4.0,4.0,40.0,2.0,35.6,24.0,32.5,23.1,55.5,407.0,715.0,W W L W D,1.85,1.2,3.05,1.65,2.85,1.78,1.15,2.93,1.62,2.78,Evann Guessand - 9
1.0,Paris S-G,24.0,24.4,68.6,20.0,220.0,1800.0,20.0,52.0,19.0,39.0,91.0,48.0,4.0,4.0,24.0,0.0,51.8,18.5,48.7,41.5,90.1,576.0,1235.0,W W W D W,2.6,1.95,4.55,2.4,4.35,2.59,2.07,4.66,2.43,4.51,Ousmane Dembélé - 14
13.0,Reims,28.0,25.5,45.9,20.0,220.0,1800.0,20.0,25.0,29.0,12.0,37.0,24.0,1.0,1.0,46.0,2.0,23.6,31.4,22.8,15.9,38.7,361.0,728.0,L L D D L,1.25,0.6,1.85,1.2,1.8,1.18,0.79,1.97,1.14,1.94,Keito Nakamura - 8
15.0,Rennes,29.0,26.3,51.1,20.0,220.0,1800.0,20.0,27.0,30.0,14.0,41.0,23.0,4.0,5.0,43.0,1.0,24.2,25.6,20.8,13.2,34.0,367.0,859.0,L L L L W,1.35,0.7,2.05,1.15,1.85,1.21,0.66,1.87,1.04,1.7,Arnaud Kalimuendo - 8
16.0,Saint-Étienne,30.0,26.4,44.6,20.0,220.0,1800.0,20.0,19.0,43.0,12.0,31.0,16.0,3.0,3.0,40.0,2.0,21.6,40.4,19.2,14.3,33.5,288.0,606.0,W L D D L,0.95,0.6,1.55,0.8,1.4,1.08,0.71,1.79,0.96,1.67,Zuriko Davitashvili - 7
9.0,Strasbourg,27.0,22.1,48.6,20.0,220.0,1800.0,20.0,32.0,32.0,24.0,56.0,30.0,2.0,2.0,46.0,0.0,28.7,35.7,27.2,21.9,49.0,314.0,647.0,W W D W L,1.6,1.2,2.8,1.5,2.7,1.44,1.09,2.53,1.36,2.45,Emanuel Emegha - 8
10.0,Toulouse,25.0,25.7,46.3,20.0,220.0,1800.0,20.0,19.0,22.0,15.0,34.0,17.0,2.0,3.0,30.0,1.0,28.3,20.2,25.9,20.5,46.4,342.0,760.0,W L D L D,0.95,0.75,1.7,0.85,1.6,1.42,1.02,2.44,1.3,2.32,Zakaria Aboukhlal - 6
