Index,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90
1,Paris S-G,Bradley Barcola,FRA,FW,22.0,20.0,17.0,1316.0,14.6,11.0,4.0,15.0,11.0,0.0,0.0,1.0,0.0,9.8,9.8,6.1,15.8,90.0,46.0,215.0,0.75,0.27,1.03,0.75,1.03,0.67,0.42,1.08,0.67,1.08
2,Paris S-G,Achraf Hakimi,MAR,DF,26.0,16.0,16.0,1388.0,15.4,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,5.0,7.1,69.0,111.0,194.0,0.13,0.32,0.45,0.13,0.45,0.14,0.33,0.46,0.14,0.46
3,Paris S-G,Gianluigi Donnarumma,ITA,GK,25.0,16.0,16.0,1371.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Paris S-G,Willian Pacho,ECU,DF,23.0,18.0,15.0,1437.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,39.0,1.0,0.0,0.06,0.06,0.0,0.06,0.0,0.01,0.01,0.0,0.01
5,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18.0,18.0,15.0,1330.0,14.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,1.6,30.0,77.0,57.0,0.07,0.07,0.14,0.07,0.14,0.06,0.05,0.11,0.06,0.11
6,Paris S-G,Vitinha,POR,MF,24.0,17.0,13.0,1265.0,14.1,3.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,2.6,1.0,1.4,2.4,28.0,136.0,31.0,0.21,0.0,0.21,0.07,0.07,0.18,0.1,0.28,0.07,0.17
7,Paris S-G,Lee Kang-in,KOR,"FW,MF",23.0,20.0,13.0,1197.0,13.3,6.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,2.8,2.8,4.5,7.3,40.0,104.0,102.0,0.45,0.3,0.75,0.45,0.75,0.21,0.34,0.55,0.21,0.55
8,Paris S-G,João Neves,POR,MF,20.0,16.0,13.0,1118.0,12.4,2.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,3.2,5.0,23.0,93.0,45.0,0.16,0.56,0.72,0.16,0.72,0.15,0.25,0.41,0.15,0.41
9,Paris S-G,Ousmane Dembélé,FRA,FW,27.0,18.0,13.0,1114.0,12.4,14.0,4.0,18.0,13.0,1.0,1.0,1.0,0.0,8.9,8.1,6.0,14.1,87.0,89.0,162.0,1.13,0.32,1.45,1.05,1.37,0.72,0.48,1.2,0.66,1.14
10,Paris S-G,Fabián Ruiz Peña,ESP,MF,28.0,19.0,12.0,1154.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.4,2.4,1.9,4.3,29.0,122.0,54.0,0.16,0.08,0.23,0.16,0.23,0.19,0.15,0.33,0.19,0.33
11,Paris S-G,Marquinhos,BRA,DF,30.0,14.0,12.0,1106.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.6,1.0,21.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
12,Paris S-G,Lucas Beraldo,BRA,DF,21.0,13.0,12.0,1085.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.6,7.0,73.0,0.0,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05
13,Paris S-G,Nuno Mendes,POR,DF,22.0,13.0,12.0,992.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,2.2,3.1,38.0,82.0,69.0,0.0,0.09,0.09,0.0,0.09,0.08,0.2,0.28,0.08,0.28
