Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987.0,14,11,981,10.9,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.03,7.0,3.0,42.9,4.0,57.1,58.53,11.65,37.89,19.54,1.28,0.64,58.53,0.64,0.28,0.37,29.45,158.26,76.79,0.37,0.09,0.0,0.73,0.28,35.96,0.28,0.55,0.0,0.46,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,502.0,86.9,7924.0,2394.0,146.0,158.0,92.4,262.0,286.0,91.6,23.0,48.0,47.9,0.0,0.01,0.03,-0.01,0.18,2.48,0.0,0.0,2.02,46.06,42.02,3.85,1.83,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,40.0,0.18,0.09,0.18,0.09,0.0,0.0,0.12,-0.2,-0.2,65.5,0.18,0.0,0.0,1.47,0.55,0.0,1.19,1.01,0.0,0.0,3.85,1.74,0.92,1.56,1.38,0.18,0.0,0.92,1.47,0.55,2.39,1.65,2.75,5.23,0.09,62.5
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,28,28,2487,27.6,0.22,0.25,0.11,0.14,0.2,0.31,0.09,0.2,111.0,53.0,47.7,56.0,50.5,64.53,0.98,9.28,37.97,18.8,1.52,64.38,4.02,1.92,2.03,38.33,248.77,141.27,3.48,2.86,0.58,1.7,1.56,47.1,3.62,2.86,0.14,2.43,0.07,0.14,0.04,0.11,0.07,0.07,0.0,0.07,0.0,0.0,0.0,1243.0,1504.0,82.6,19480.0,5339.0,644.0,728.0,88.5,477.0,547.0,87.2,74.0,134.0,55.2,0.04,0.11,0.12,-0.07,1.23,5.18,1.23,0.07,6.67,54.49,50.69,3.51,1.38,0.83,0.43,1.38,0.51,0.29,0.14,0.07,0.0,45.04,0.29,1.01,0.87,0.22,0.13,0.5,0.1,0.4,0.5,40.0,0.14,0.0,0.0,1.45,1.09,0.07,0.83,1.05,0.0,0.0,5.98,0.43,0.65,1.56,0.4,0.69,0.47,0.51,1.56,1.05,0.72,0.04,2.39,0.8,0.07,32.6
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993.0,21,14,1167,13.0,0.31,0.46,0.31,0.46,0.22,0.35,0.22,0.35,22.0,8.0,36.4,14.0,63.6,58.62,3.31,15.31,23.08,20.62,2.92,58.62,1.69,0.62,1.08,26.31,121.15,63.46,2.31,0.92,0.62,1.85,0.85,32.77,6.69,3.01,0.23,2.15,0.23,0.23,0.31,0.0,0.08,0.08,0.08,0.0,0.08,0.0,0.0,442.0,588.0,75.2,6906.0,2307.0,240.0,278.0,86.3,162.0,212.0,76.4,29.0,60.0,48.3,0.15,0.13,0.12,0.02,1.31,1.23,1.38,0.46,2.85,45.23,37.38,7.54,0.92,0.0,0.15,3.38,6.62,0.0,0.0,0.0,0.0,34.0,0.31,1.23,1.93,0.77,0.16,0.4,0.13,1.1,1.1,58.1,0.08,0.0,0.0,1.46,0.85,0.31,1.31,1.69,0.0,0.0,4.54,1.38,1.0,2.85,1.15,1.0,0.69,2.0,3.08,1.08,1.38,0.31,4.15,2.46,0.0,65.0
Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000.0,30,18,1864,20.7,0.1,0.1,0.1,0.1,0.02,0.07,0.02,0.07,33.0,18.0,54.5,11.0,33.3,56.09,2.9,16.67,25.31,14.59,0.82,56.09,1.59,0.87,0.53,25.46,142.37,78.36,2.27,1.84,0.34,1.21,0.68,27.97,3.77,1.64,0.19,1.26,0.05,0.24,0.0,0.05,0.05,0.1,0.0,0.05,0.0,0.0,0.05,669.0,937.0,71.4,11210.0,4563.0,335.0,379.0,88.4,268.0,344.0,77.9,53.0,149.0,35.6,0.0,0.05,0.07,-0.05,0.68,2.51,0.72,0.53,3.14,45.27,35.65,9.47,0.48,0.14,0.05,3.67,8.99,0.0,0.0,0.0,0.0,32.32,0.14,2.17,0.53,0.19,0.18,0.5,0.04,1.5,1.5,51.5,0.14,0.0,0.0,1.11,1.35,0.05,0.77,1.55,0.0,0.05,4.83,0.82,0.77,2.66,1.21,1.11,0.34,1.64,2.51,0.87,1.11,0.14,3.43,2.8,0.1,65.4
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22.0,2003.0,30,29,2422,26.9,0.3,0.37,0.26,0.33,0.28,0.4,0.25,0.37,82.0,32.0,39.0,47.0,57.3,28.74,1.12,2.6,12.45,14.24,4.61,28.7,3.05,1.19,1.75,19.41,121.6,58.07,2.42,1.38,1.38,3.01,2.08,22.19,5.5,2.08,0.3,1.45,0.0,0.3,0.19,0.11,0.04,0.22,0.0,0.07,0.0,0.0,0.0,302.0,462.0,65.4,4419.0,850.0,165.0,228.0,72.4,100.0,138.0,72.5,17.0,34.0,50.0,0.07,0.12,0.12,-0.04,0.82,0.74,0.52,0.15,1.52,17.17,16.21,0.93,0.04,0.11,0.15,1.08,0.04,0.0,0.0,0.0,0.0,11.23,0.04,0.89,2.45,0.89,0.11,0.29,0.1,0.4,0.2,40.8,0.07,0.0,0.0,1.04,1.86,0.19,0.11,0.19,0.0,0.0,2.79,1.82,2.64,0.41,0.07,0.15,0.19,0.11,0.33,0.22,0.48,0.04,0.52,1.19,0.04,33.3
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,17,12,1084,12.0,0.08,0.17,0.08,0.17,0.02,0.11,0.02,0.11,12.0,6.0,50.0,6.0,50.0,65.42,3.25,17.0,29.92,18.67,1.75,65.42,1.0,0.5,0.5,35.33,160.25,103.25,2.58,1.33,0.42,1.08,0.67,42.5,4.58,1.99,0.08,1.75,0.25,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,568.0,671.0,84.6,8355.0,3494.0,335.0,365.0,91.8,181.0,210.0,86.2,33.0,55.0,60.0,0.08,0.09,0.19,-0.01,0.92,3.75,0.92,0.17,5.5,55.92,47.67,8.08,0.75,0.08,0.42,2.58,6.83,0.5,0.5,0.0,0.0,47.33,0.17,1.5,0.5,0.25,0.17,0.33,0.03,0.8,0.8,40.0,0.08,0.0,0.0,1.33,0.33,0.0,0.42,1.67,0.0,0.0,3.75,0.5,0.75,2.42,1.0,0.83,0.58,1.75,2.67,0.92,1.25,0.17,2.83,3.42,0.0,65.6
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25.0,2000.0,24,22,1848,20.5,0.34,0.44,0.29,0.39,0.49,0.57,0.41,0.49,46.0,12.0,26.1,32.0,69.6,28.83,0.24,2.73,9.27,17.07,5.37,28.73,2.24,0.59,1.56,17.61,88.88,40.24,1.51,1.07,0.88,3.02,1.22,21.37,7.71,1.61,0.34,0.93,0.0,0.2,0.24,0.2,0.05,0.15,0.0,0.05,0.0,0.15,0.0,215.0,341.0,63.0,2695.0,744.0,142.0,189.0,75.1,53.0,91.0,58.2,6.0,14.0,42.9,0.1,0.08,0.1,0.02,0.59,0.73,0.49,0.2,1.07,16.63,15.85,0.63,0.05,0.0,0.0,1.61,0.34,0.15,0.1,0.0,0.0,10.49,0.15,0.68,2.87,1.17,0.1,0.25,0.14,-3.1,-2.5,36.7,0.2,0.0,0.0,1.66,1.17,0.54,0.29,0.54,0.1,0.0,2.83,1.07,1.85,0.93,0.29,0.34,0.29,0.2,1.02,0.83,0.78,0.05,1.22,0.39,0.0,19.0
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26.0,1999.0,29,29,2463,27.4,0.0,0.04,0.0,0.04,0.03,0.04,0.03,0.04,4.0,3.0,75.0,1.0,25.0,45.66,5.84,24.05,19.89,2.12,0.91,45.66,0.15,0.11,0.04,23.07,128.87,73.47,0.58,0.26,0.0,0.66,0.11,23.72,0.15,0.91,0.11,0.73,0.0,0.0,0.07,0.04,0.07,0.07,0.0,0.0,0.0,0.04,0.0,719.0,939.0,76.6,16039.0,5771.0,180.0,194.0,92.8,421.0,460.0,91.5,114.0,258.0,44.2,0.04,0.01,0.01,0.03,0.29,2.45,0.36,0.07,2.88,34.27,32.41,1.75,1.46,0.04,0.62,0.18,0.26,0.0,0.0,0.0,0.0,26.24,0.11,0.22,0.44,0.04,0.0,0.0,0.08,-0.9,-0.9,53.3,0.47,0.0,0.0,1.72,1.13,0.07,1.42,0.84,0.04,0.07,3.18,1.46,1.28,1.31,0.88,0.4,0.04,0.73,1.24,0.51,1.02,0.66,2.74,5.33,0.04,58.8
Francesco Acerbi,it ITA,DF,Inter,it Serie A,37.0,1988.0,18,18,1480,16.4,0.0,0.06,0.0,0.06,0.02,0.05,0.02,0.05,3.0,3.0,100.0,0.0,0.0,76.95,7.2,33.23,39.02,4.94,1.04,76.95,0.18,0.18,0.0,48.54,211.1,102.74,0.79,0.79,0.06,0.43,0.12,56.83,0.98,1.09,0.06,1.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1017.0,1097.0,92.7,19037.0,5345.0,341.0,366.0,93.2,590.0,613.0,96.2,76.0,94.0,80.9,0.06,0.03,0.05,0.03,0.49,2.68,0.3,0.18,3.17,66.89,64.51,2.26,1.46,0.0,0.06,0.43,0.49,0.0,0.0,0.0,0.0,62.01,0.12,0.24,0.24,0.06,0.0,0.0,0.08,-0.3,-0.3,67.5,0.0,0.0,0.0,0.67,0.98,0.06,1.52,1.04,0.0,0.0,2.87,3.17,1.52,1.22,0.79,0.43,0.0,0.55,0.85,0.3,1.1,0.79,2.74,4.57,0.0,64.3
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,30,25,2157,24.0,0.33,0.46,0.33,0.46,0.27,0.34,0.23,0.31,34.0,10.0,29.4,20.0,58.8,27.54,0.62,2.0,13.62,12.29,3.12,27.5,1.42,0.42,0.83,17.21,72.12,25.25,0.79,0.62,0.21,2.21,1.08,21.25,5.12,2.34,0.21,1.88,0.04,0.0,0.21,0.21,0.0,0.17,0.0,0.0,0.04,0.0,0.0,342.0,466.0,73.4,5340.0,1037.0,183.0,236.0,77.5,113.0,142.0,79.6,28.0,41.0,68.3,0.12,0.08,0.12,0.05,1.0,1.12,0.25,0.0,1.38,19.42,17.92,1.46,0.12,0.17,0.21,0.38,0.04,0.0,0.0,0.0,0.0,14.25,0.04,0.67,1.96,0.83,0.17,0.4,0.12,1.6,2.4,37.3,0.08,0.0,0.0,1.0,1.25,0.71,0.08,0.12,0.0,0.0,1.79,1.29,2.17,0.33,0.04,0.12,0.17,0.0,0.17,0.17,0.42,0.21,0.42,0.71,0.0,0.0
